"uf","legenda","descricao","count","sum"
"AC","A","Água",8789,48306.75040000007
"AL","A","Água",285,32007.39220000001
"AM","A","Água",133105,5371741.709700236
"AP","A","Água",10202,661647.6884999933
"BA","A","Água",5096,154057.64930000016
"CE","A","Água",2458,27864.630899999996
"DF","A","Água",46,394.5182
"ES","A","Água",427,40392.39890000004
"GO","A","Água",10777,76717.8190999996
"MA","A","Água",26660,1368290.8377999994
"MG","A","Água",7043,112904.00650000018
"MS","A","Água",24632,417260.4280999999
"MT","A","Água",21964,648685.3801999991
"PA","A","Água",70424,4676617.129599976
"PB","A","Água",142,6249.935099999999
"PE","A","Água",919,33204.44939999999
"PI","A","Água",3949,47722.869900000056
"PR","A","Água",2440,109934.53929999996
"RJ","A","Água",1114,93777.09060000001
"RN","A","Água",977,20352.983100000005
"RO","A","Água",5700,135496.02029999997
"RR","A","Água",22221,434001.9197999913
"RS","A","Água",12779,1647568.9935000017
"SC","A","Água",1912,63441.42670000012
"SE","A","Água",412,28543.625800000016
"SP","A","Água",2783,50813.13920000002
"TO","A","Água",8996,201971.26950000157
"AC","Ac","Agricultura anual / Geral",102,3745.6650999999997
"AL","Ac","Agricultura anual / Geral",1585,82964.25319999999
"AM","Ac","Agricultura anual / Geral",408,1012.3839999999996
"AP","Ac","Agricultura anual / Geral",1099,19816.3886
"BA","Ac","Agricultura anual / Geral",58918,3490780.239599995
"CE","Ac","Agricultura anual / Geral",32945,1002157.664199997
"DF","Ac","Agricultura anual / Geral",2869,125865.33399999994
"ES","Ac","Agricultura anual / Geral",269,20173.9174
"GO","Ac","Agricultura anual / Geral",167813,4482398.697499998
"MA","Ac","Agricultura anual / Geral",32950,1024041.5337000036
"MG","Ac","Agricultura anual / Geral",103580,2810979.696400019
"MS","Ac","Agricultura anual / Geral",65722,3066453.417700001
"MT","Ac","Agricultura anual / Geral",296794,10476371.674899928
"PA","Ac","Agricultura anual / Geral",48393,557136.8423000011
"PB","Ac","Agricultura anual / Geral",2100,139827.6829
"PE","Ac","Agricultura anual / Geral",7240,387839.9609000001
"PI","Ac","Agricultura anual / Geral",33865,1424177.4718999998
"PR","Ac","Agricultura anual / Geral",88224,6360724.180800005
"RJ","Ac","Agricultura anual / Geral",218,14174.514599999997
"RN","Ac","Agricultura anual / Geral",13341,530097.9469999998
"RO","Ac","Agricultura anual / Geral",31660,324170.14030000113
"RR","Ac","Agricultura anual / Geral",1973,65927.02689999994
"RS","Ac","Agricultura anual / Geral",136275,7868112.532199983
"SC","Ac","Agricultura anual / Geral",43854,1352579.188700018
"SE","Ac","Agricultura anual / Geral",4682,300275.4000999993
"SP","Ac","Agricultura anual / Geral",51733,1781455.5826000087
"TO","Ac","Agricultura anual / Geral",35919,1117353.4487999983
"AC","Ap","Pastagem",210421,1923671.1559000053
"AL","Ap","Pastagem",17687,1416384.8817999982
"AM","Ap","Pastagem",307370,2377154.4254000233
"AP","Ap","Pastagem",31836,172301.23430000007
"BA","Ap","Pastagem",348451,15628175.298899956
"CE","Ap","Pastagem",93909,2373487.2602000027
"DF","Ap","Pastagem",2302,117454.39860000009
"ES","Ap","Pastagem",14095,2481007.446600003
"GO","Ap","Pastagem",195377,15022115.961199949
"MA","Ap","Pastagem",367614,9511997.717800051
"MG","Ap","Pastagem",239657,25240663.881000195
"MS","Ap","Pastagem",97491,15803202.638799869
